tournament_id,tournament_name,category_name,url,is_important
27072,Primera A Clausura,Colômbia,https://betnacional.bet.br/events/1/274/27072,Não
1347,Primera B,Argentina,https://betnacional.bet.br/events/1/48/1347,Não
27665,Primera División,Chile,https://betnacional.bet.br/events/1/49/27665,Não
27464,Primera División Apertura,México,https://betnacional.bet.br/events/1/12/27464,Não
27100,Primera División Clausura,Paraguai,https://betnacional.bet.br/events/1/280/27100,Não
34834,Primera Federación,Espanha,https://betnacional.bet.br/events/1/32/34834,Não
703,Primera Nacional,Argentina,https://betnacional.bet.br/events/1/48/703,Não
38,Pro League,Bélgica,https://betnacional.bet.br/events/1/33/38,Não
212,PrvaLiga,Eslovénia,https://betnacional.bet.br/events/1/24/212,Não
347,Scottish Cup,Escócia,https://betnacional.bet.br/events/1/22/347,Não
1908,Segunda División,Uruguai,https://betnacional.bet.br/events/1/57/1908,Não
239,Segunda Liga,Portugal,https://betnacional.bet.br/events/1/44/239,Não
23,Serie A,Itália,https://betnacional.bet.br/events/1/31/23,Não
20808,Serie A Feminina,Itália,https://betnacional.bet.br/events/1/31/20808,Não
53,Serie B,Itália,https://betnacional.bet.br/events/1/31/53,Não
26554,Serie C Group A,Itália,https://betnacional.bet.br/events/1/31/26554,Não
26556,Serie C Grupo B,Itália,https://betnacional.bet.br/events/1/31/26556,Não
303,Slovensky Pohar,Eslováquia,https://betnacional.bet.br/events/1/23/303,Não
26056,Southern Football League Premier Division Central,Inglaterra Amadores,https://betnacional.bet.br/events/1/252/26056,Não
26058,Southern Football League Premier Division South,Inglaterra Amadores,https://betnacional.bet.br/events/1/252/26058,Não
649,Super League,China,https://betnacional.bet.br/events/1/99/649,Não
185,Super Liga,Grécia,https://betnacional.bet.br/events/1/67/185,Não
341,Supercopa,Itália,https://betnacional.bet.br/events/1/31/341,Não
46,Superettan,Suécia,https://betnacional.bet.br/events/1/9/46,Não
39,Superliga,Dinamarca,https://betnacional.bet.br/events/1/8/39,Não
211,Superliga,Eslováquia,https://betnacional.bet.br/events/1/23/211,Não
210,Superliga,Sérvia,https://betnacional.bet.br/events/1/152/210,Não
215,Superliga,Suíça,https://betnacional.bet.br/events/1/25/215,Não
52,Superliga,Turquia,https://betnacional.bet.br/events/1/46/52,Não
48235,Superliga Feminina,Roménia,https://betnacional.bet.br/events/1/77/48235,Não
240,Série A,Equador,https://betnacional.bet.br/events/1/165/240,Não
26558,Série C Grupo C,Itália,https://betnacional.bet.br/events/1/31/26558,Não
35811,Tercera División,Uruguai,https://betnacional.bet.br/events/1/57/35811,Não
7,UEFA Champions League,,https://betnacional.bet.br/events/1/393/7,Sim
34480,UEFA Conference League,,https://betnacional.bet.br/events/1/393/34480,Sim
679,UEFA Europa League,,https://betnacional.bet.br/events/1/393/679,Sim
28163,USL Championship,Estados Unidos da América,https://betnacional.bet.br/events/1/26/28163,Não
626,V-League,Vietname,https://betnacional.bet.br/events/1/366/626,Não
197,Virsliga,Letónia,https://betnacional.bet.br/events/1/163/197,Não
169,Vysshaya Liga,Bielorrússia,https://betnacional.bet.br/events/1/91/169,Não
